reclat,reclon
42.90892, -78.87752,
42.90892, -78.87744,
42.90892, -78.87740,
42.90892, -78.87736,
42.90892, -78.87731,
42.90892, -78.87726,
42.90892, -78.87721,
42.90892, -78.87714,
42.90893, -78.87712,
42.90910, -78.87710,
42.90919, -78.87710,
42.90927, -78.87710,
42.90934, -78.87710,
42.90941, -78.87710,
42.90947, -78.87710,
42.90951, -78.87711,
42.90954, -78.87715,
42.90956, -78.87720,
42.90955, -78.87725,
42.90956, -78.87730,
42.90958, -78.87733,
42.90960, -78.87735,
42.90963, -78.87735,
42.90965, -78.87734,
42.90967, -78.87733,
42.90965, -78.87731,
42.90968, -78.87732,
42.90966, -78.87731,
42.90965, -78.87730,
42.90966, -78.87727,
42.90968, -78.87729,
42.90971, -78.87727,
42.90971, -78.87723,
42.90970, -78.87719,
42.90972, -78.87716,
42.90976, -78.87712,
42.90982, -78.87710,
42.90989, -78.87710,
42.90999, -78.87710,
42.91008, -78.87710,
42.91018, -78.87709,
42.91028, -78.87709,
42.91040, -78.87709,
42.91043, -78.87709,
42.91059, -78.87709,
42.91068, -78.87709,
42.91077, -78.87709,
42.91087, -78.87709,
42.91095, -78.87709,
42.91103, -78.87709,
42.91109, -78.87709,
42.91116, -78.87709,
42.91125, -78.87709,
42.91135, -78.87709,
42.91145, -78.87708,
42.91157, -78.87708,
42.91171, -78.87708,
42.91180, -78.87708,
42.91198, -78.87708,
42.91212, -78.87708,
42.91226, -78.87708,
42.91238, -78.87708,
42.91250, -78.87708,
42.91261, -78.87708,
42.91272, -78.87707,
42.91279, -78.87707,
42.91284, -78.87707,
42.91288, -78.87707,
42.91284, -78.87707,
42.91289, -78.87707,
42.91287, -78.87707,
42.91290, -78.87707,
42.91293, -78.87707,
42.91296, -78.87706,
42.91301, -78.87704,
42.91307, -78.87703,
42.91314, -78.87702,
42.91318, -78.87707,
42.91330, -78.87707,
42.91340, -78.87707,
42.91350, -78.87707,
42.91359, -78.87707,
42.91371, -78.87706,
42.91382, -78.87706,
42.91395, -78.87706,
42.91407, -78.87706,
